56,,,西安美团外卖直招送餐员七千管住配车,,,西安闪牛网络科技有限公司,,,西安,,,0.8-1万/月,,,09-27
57,,,店长,,,西安璞罗凡森商贸有限责任公司,,,西安-未央区,,,5-8千/月,,,09-27
58,,,茶馆店长,,,西安美都电器有限公司,,,西安-曲江文化新区,,,0.8-1万/月,,,09-27
59,,,西安赛格国际购物中心乐町店长,,,宁波乐町时尚服饰有限公司,,,西安-雁塔区,,,0.5-2.5万/月,,,09-27
60,,,幼儿园厨师,,,陕西西交康桥教育科技有限公司,,,西安,,,5-6.5千/月,,,09-27
61,,,必胜客餐厅储备经理-西安,,,北京必胜客比萨饼有限公司陕西分公司,,,西安-新城区,,,None,,,09-27
62,,,餐饮宴会服务员,,,西安天翼新商务酒店有限公司,,,西安-莲湖区,,,2-3千/月,,,09-27
63,,,服务员,,,西安华侨城实业有限公司,,,西安-碑林区,,,3-4.5千/月,,,09-27
64,,,厨工,,,西安外国语学院国际交流中心宾馆,,,西安-雁塔区,,,3-4.5千/月,,,09-27
65,,,诚招合作伙伴,,,成都众盛鑫新能源有限公司,,,异地招聘,,,1.5-2.8万/月,,,09-27
66,,,员工灶厨师,,,陕西国伟家具有限责任公司,,,西安,,,3-4.5千/月,,,09-27
67,,,厨师,,,陕西泰德物业管理有限公司,,,西安,,,3-4.5千/月,,,09-27
68,,,店长（高薪诚聘，建材经验）,,,西安市未央区梦天爱家木业商行,,,西安-未央区,,,12-18万/年,,,09-27
69,,,店员（饮料）,,,陕西联商合元商业地产运营有限公司,,,西安,,,3-4.5千/月,,,09-27
70,,,（店长/楼层管理）校区行政管理,,,西安新东方学校,,,西安-雁塔区,,,3-4.5千/月,,,09-27
71,,,凉菜厨师,,,西安力邦艺术文化投资有限公司,,,西安,,,3-4千/月,,,09-27
72,,,学校餐厅厨师长,,,四川顺心餐饮投资管理有限公司,,,西安-雁塔区,,,4.5-6千/月,,,09-27
73,,,厨工、服务员,,,西安高新万达广场,,,西安-高新技术产业开发区,,,2-3千/月,,,09-27
74,,,店长,,,西安馨慧房地产营销策划有限公司,,,西安-莲湖区,,,2-2.5万/月,,,09-27
75,,,餐厅见习主任/主任,,,味千拉面饮食服务（深圳）有限公司,,,西安,,,3-5.5千/月,,,09-27
76,,,幼儿园厨师,,,布莱特教育集团,,,西安-莲湖区,,,3.8-4.5千/月,,,09-27
77,,,托管厨师,,,陕西斯维教育科技管理有限公司,,,西安-未央区,,,2-4千/月,,,09-27
78,,,店长,,,西安来润商贸有限公司,,,西安,,,3-4.5千/月,,,09-27
79,,,茶艺师,,,陕西恒得利汽车销售服务有限公司,,,西安-未央区,,,3-4.5千/月,,,09-27
80,,,食堂帮厨,,,西部电缆股份有限公司,,,西安-未央区,,,1.5-2千/月,,,09-27
81,,,幼儿厨师,,,陕西源优婴幼儿智力开发咨询有限公司,,,西安-�哄鄙�态区,,,3-4.5千/月,,,09-27
